mp3_title	youtube_title	used_query	youtube_url
1 - Jhol ｜ Coke Studio Pakistan ｜ Season 15 ｜ Maanu x Annural Khalid	Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid	1 - Jhol ｜ Coke Studio Pakistan ｜ Season 15 ｜ Maanu x Annural Khalid	https://www.youtube.com/watch?v=-2RAq5o5pwc
2 - Chaal chal tu apni me tujhe pehchan lunga (Lyrics) ｜ Tu hai kahan ｜ AUR	Tu Hai Kahan by AUR | تو ہے کہاں (Official Music Video)	2 - Chaal chal tu apni me tujhe pehchan lunga (Lyrics) ｜ Tu hai kahan ｜ AUR	https://www.youtube.com/watch?v=AX6OrbgS8lI
3 - Aditya Rikhari - Paaro (Lyrics)	Aditya Rikhari - Paaro (Official Video)	3 - Aditya Rikhari - Paaro (Lyrics)	https://www.youtube.com/watch?v=DxsDekHDKXo
4 - Finding Her (Jana Mere Sawalon Ka Manzar Tu) ： Kushagra ｜ Vanshika ｜ Bharath ｜ Karan Maini ｜UR Debut	Jana Mere Sawalo Ka Manzar Tu (Official Video) | Reels Hits Song 2025 | Kushagra | Finding Her	4 - Finding Her (Jana Mere Sawalon Ka Manzar Tu) ： Kushagra ｜ Vanshika ｜ Bharath ｜ Karan Maini ｜UR Debut	https://www.youtube.com/watch?v=3p8l7ozAk-Q
5 - Dominic Fike - Babydoll (Lyrics)	Dominic Fike - Babydoll (Lyrics)	5 - Dominic Fike - Babydoll (Lyrics)	https://www.youtube.com/watch?v=qE9nGmMFS8w
7__ - Orange Full Version [PV] Lyrics(MP3_160K)	7-TOUN - MARJANA (EXCLUSIVE Music Video) | (سبعتون - مرجانة (فيديو كليب حصري	7__ - Orange Full Version [PV] Lyrics(MP3_160K)	https://www.youtube.com/watch?v=KsQHyGY9mMg
8月10日（日）より放送／TVアニメ「ONE PIECE」オープニング主題歌「カーマイン」ELLEGARDEN	ELLEGARDEN - カーマイン [MUSIC VIDEO]	8月10日（日）より放送／TVアニメ「ONE PIECE」オープニング主題歌「カーマイン」ELLEGARDEN	https://www.youtube.com/watch?v=Qp8SwP3Ggl8
ATLXS - PASSO BEM SOLTO (SLOWED)(MP3_160K)	Passo Bem Solto (Ultra Slowed + Reverb) — ATLXS	ATLXS - PASSO BEM SOLTO (SLOWED)(MP3_160K)	https://www.youtube.com/watch?v=JfWyNOTXRsQ
Aaj ami sob harano ( আজ আমি সব হারানো ) Neshar Bojha Lyrics (নেশার বোঝা) Popeye _ Copy Unlimited(M4A_128K)	Aaj ami sob harano ( আজ আমি সব হারানো ) Neshar Bojha Lyrics (নেশার বোঝা) Popeye | Copy Unlimited	Aaj ami sob harano Neshar Bojha Popeye Copy Unlimited	https://www.youtube.com/watch?v=myWgnBVxHFA
Adele - Skyfall (Lyrics)(MP3_160K)	Adele - Skyfall (Karaoke Version)	Adele - Skyfall (Lyrics)(MP3_160K)	https://www.youtube.com/watch?v=UadrtR56n6s
